2019-6-20_19:7:17:314,#xqcow,N OMEGALUL
2019-6-20_19:7:17:341,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:17:371,#nickmercs,nickmercsHG nickmercsHG
2019-6-20_19:7:17:441,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
2019-6-20_19:7:17:481,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
2019-6-20_19:7:17:492,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
2019-6-20_19:7:17:537,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:17:541,#asmongold,RalpherZ RalpherZ RalpherZ
2019-6-20_19:7:17:807,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:17:861,#guardiancon,link doesnt work????
2019-6-20_19:7:17:936,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:18:40,#xqcow,cmonBruh
2019-6-20_19:7:18:81,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:18:159,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS ocularHYPERS ocularHYPERS
2019-6-20_19:7:18:266,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:18:370,#nickmercs,nickmercsHYPERS nickmercsB nickmercsHYPERS nickmercsB nickmercsHYPERS nickmercsB
2019-6-20_19:7:18:401,#xqcow,cmonBruh
2019-6-20_19:7:18:448,#guardiancon,kgothB kgothB kgothB kgothB kgothB kgothLOVE kgothLOVE kgothLOVE kgothLOVE kgothLOVE
2019-6-20_19:7:18:468,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:18:662,#xqcow,!#showemote 😡
2019-6-20_19:7:18:674,#nickmercs,nickmercsHYPERS
2019-6-20_19:7:18:698,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
